file	errors	warnings	infos
1password.md	0	6	1
a24films.md	0	10	1
ableton.md	0	7	1
aceternity.md	0	17	1
adidas.md	0	8	1
aesop.md	0	10	1
agora.md	0	9	1
agronomywork.md	0	10	1
airbnb.md	0	15	1
airtable.md	0	10	1
align-ui.md	0	21	1
allbirds.md	0	9	1
amoeba.md	0	10	1
anthropic.md	0	7	1
antimetal.md	0	7	1
apollo.md	0	8	1
apple.md	0	10	1
arc.md	0	21	1
arcade.md	0	8	1
are-na.md	0	7	1
asana.md	0	8	1
astro.md	0	10	1
athletic-brewing.md	0	7	1
atlassian.md	0	20	1
audubon.md	0	8	1
bandcamp.md	0	10	1
bauhaus.md	0	9	1
bear.md	0	8	1
binance.md	0	19	1
blackrock.md	0	9	1
blue-bottle.md	0	10	1
bmw.md	0	5	1
braun.md	0	7	1
brightland.md	0	8	1
bugatti.md	0	10	1
cal.md	0	13	1
cape.md	0	7	1
carbon.md	0	18	1
claude-ai.md	0	16	1
clay.md	0	26	1
clickhouse.md	0	16	1
cohere.md	0	11	1
coinbase.md	0	9	1
composio.md	0	24	1
craigslist.md	0	9	1
criterion.md	0	10	1
cursor.md	0	18	1
daisyui.md	0	16	1
designspells.md	0	8	1
discord.md	0	7	1
dropshot.md	0	9	1
eataly.md	0	10	1
elevenlabs.md	0	11	1
erewhon.md	0	7	1
expo.md	0	21	1
ferrari.md	0	14	1
fey.md	0	15	1
figma.md	0	3	1
final-fantasy.md	0	6	1
flighty.md	0	9	1
fluent.md	0	30	1
fly-by-jing.md	0	9	1
fly.md	0	9	1
folk.md	0	8	1
frame-io.md	0	9	1
framer.md	0	9	1
ghost.md	0	7	1
glossier.md	0	8	1
granola.md	0	27	1
graza.md	0	10	1
hashicorp.md	0	18	1
hero-ui.md	0	20	1
hyperkit.md	0	7	1
ibm.md	0	14	1
intercom.md	0	17	1
invideo.md	0	10	1
ios-hig.md	0	25	1
its-nice-that.md	0	9	1
ivory.md	0	18	1
jagjaguwar.md	0	6	1
kinfolk.md	0	6	1
kraken.md	0	7	1
lamborghini.md	0	16	1
le-labo.md	0	7	1
lego.md	0	7	1
leonardo.md	0	8	1
linear.app.md	0	23	1
link-kit.md	0	10	1
liquid-death.md	0	6	1
loom.md	0	9	1
louis-vuitton.md	0	8	1
lovable.md	0	13	1
magic-spoon.md	0	9	1
mainframe-manifesto.md	0	9	1
mastercard.md	0	16	1
material-3.md	0	14	1
me-sh.md	0	7	1
mercury-weather.md	0	25	1
meta.md	0	38	1
minimax.md	0	20	1
mintlify.md	0	19	1
miro.md	0	15	1
mistral.ai.md	0	15	1
moleskine.md	0	8	1
mongodb.md	0	16	1
movingparts.md	0	8	1
mschf.md	0	8	1
muji.md	0	7	1
necessaire.md	0	7	1
new-yorker.md	0	7	1
nike.md	0	43	1
notboring.md	0	28	1
notion-calendar.md	0	8	1
notion.md	0	19	1
nvidia.md	0	23	1
obsidian.md	0	7	1
olipop.md	0	9	1
ollama.md	0	8	1
once-ui.md	0	13	1
opencode.ai.md	0	17	1
otherkind.md	0	8	1
paris-review.md	0	9	1
park-ui.md	0	20	1
patagonia.md	0	9	1
pendleton.md	0	6	1
pentagram.md	0	6	1
pinterest.md	0	17	1
pitch.md	0	17	1
playstation.md	0	21	1
polaris.md	0	17	1
polestar.md	0	10	1
poolsuite.md	0	8	1
posthog.md	0	10	1
preline.md	0	14	1
primer.md	0	15	1
ramp.md	0	8	1
raycast.md	0	11	1
readwise.md	0	10	1
recess.md	0	9	1
renault.md	0	4	1
replicate.md	0	4	1
resend.md	0	8	1
revolut.md	0	5	1
rivian.md	0	7	1
rossignol.md	0	9	1
runwayml.md	0	1	1
sanity.md	0	18	1
santa-maria-novella.md	0	10	1
sega.md	0	8	1
sentry.md	0	12	1
sesame-street.md	0	10	1
shadcn.md	0	13	1
shopify.md	0	17	1
spacex.md	0	1	1
spotify.md	0	15	1
starbucks.md	0	17	1
stripe.md	0	22	1
substack.md	0	10	1
supabase.md	0	20	1
superhuman.md	0	5	1
tailwind-plus.md	0	19	1
tesla.md	0	8	1
the-sun.md	0	6	1
the-verge.md	0	10	1
theverge.md	0	19	1
things.md	0	16	1
timespent.md	0	7	1
together.ai.md	0	15	1
tremor.md	0	24	1
triumph.md	0	8	1
uber.md	0	8	1
ubuntu.md	0	10	1
untitled-ui.md	0	32	1
vercel.md	0	24	1
vodafone.md	0	15	1
voltagent.md	0	23	1
warp.md	0	5	1
webflow.md	0	18	1
wired.md	0	12	1
wise.md	0	6	1
x.ai.md	0	3	1
xai.md	0	8	1
zapier.md	0	3	1
